timestamp,latitude,longitude,pressure,temperature,salinity,oxygen
2024-01-01 00:00:00,-34.5,-45.0,0,15.5,34.5,5.2
2024-01-01 00:01:00,-34.8,-44.5,500,14.2,34.6,5.1
2024-01-01 00:02:00,-35.0,-44.0,1000,12.8,34.7,4.9
2024-01-01 00:03:00,-35.2,-43.5,1500,10.3,34.8,4.7
2024-01-01 00:04:00,-35.5,-43.0,2000,8.5,34.9,4.5
2024-01-01 00:05:00,-35.8,-42.5,2500,6.8,35.0,4.3
2024-01-01 00:06:00,-36.0,-42.0,3000,5.0,35.1,4.1
2024-01-01 00:07:00,-36.2,-41.5,3500,4.2,35.2,3.9
2024-01-01 00:08:00,-36.5,-41.0,4000,3.5,35.3,3.7
2024-01-01 00:09:00,-36.8,-40.5,4500,2.8,35.4,3.5 